directory,Number of Labels,Success Rate,True Postive / True Negative,False Postive / False Negative,Processing time,Time per file,Time per label
TEST,9,0.757575758,"[175, 0]","[56, 0]",54.4254725,0.235608106,6.047274722
TEST,10,0.720588235,"[98, 0]","[38, 0]",26.05581212,0.191586854,2.605581212
TEST,10,0.762962963,"[103, 0]","[32, 0]",21.93077421,0.162450179,2.193077421
TEST,10,0.787330317,"[174, 0]","[47, 0]",61.50489879,0.278302709,6.150489879
TEST,10,0.805825243,"[83, 0]","[20, 0]",22.74045992,0.220781164,2.274045992
,,,,,,Average time :,0.217745802
